Date,value
2014-01-01,104.8400
2014-02-01,101.1100
2014-03-01,101.3600
2014-04-01,103.5200
2014-05-01,102.3000
2014-06-01,102.3000
2014-07-01,101.5100
2014-08-01,102.4500
2014-09-01,105.1000
2014-10-01,109.3000
2014-11-01,113.9200
2014-12-01,118.1400
2015-01-01,120.2000
2015-02-01,117.3300
2015-03-01,120.0600
2015-04-01,119.6200
2015-05-01,120.2100
2015-06-01,124.6400
2015-07-01,123.0200
2015-08-01,123.9800
2015-09-01,119.9400
2015-10-01,119.5800
2015-11-01,120.7000
2015-12-01,122.8800
2016-01-01,119.3000
2016-02-01,121.0600
2016-03-01,113.9400
2016-04-01,112.0600
2016-05-01,108.8900
2016-06-01,109.5500
2016-07-01,102.5200
2016-08-01,102.3900
2016-09-01,103.2300
2016-10-01,101.6500
2016-11-01,104.1500
2016-12-01,114.1000
2017-01-01,117.5500
2017-02-01,113.2500
2017-03-01,113.7300
2017-04-01,110.9000
2017-05-01,111.8400
2017-06-01,111.3700
2017-07-01,113.3800
2017-08-01,110.3600
2017-09-01,110.2500
2017-10-01,112.7700
2017-11-01,114.1800
2017-12-01,112.1700
2018-01-01,112.6300
2018-02-01,109.4000
2018-03-01,106.1760
2018-04-01,106.3120
2018-05-01,109.8600
2018-06-01,109.5180
2018-07-01,110.7130
2018-08-01,111.6225
2018-09-01,111.0404
2018-10-01,113.9960
2018-11-01,112.6040
2018-12-01,113.5080
2019-01-01,109.6940
2019-02-01,109.4950
2019-03-01,111.9150
2019-04-01,111.3720
2019-05-01,111.3910
2019-06-01,108.2750
2019-07-01,107.8550
2019-08-01,107.5220
2019-09-01,106.1930
2019-10-01,107.7450
2019-11-01,108.2050
2019-12-01,109.0295
2020-01-01,108.6890
2020-02-01,108.3350
2020-03-01,108.3065
2020-04-01,107.1830
2020-05-01,106.9304
2020-06-01,107.5740
2020-07-01,107.4590
2020-08-01,105.8390
2020-09-01,105.9420
2020-10-01,105.5710
2020-11-01,104.7465
2020-12-01,104.3285
2021-01-01,103.2404
2021-02-01,104.9495
2021-03-01,106.7680
2021-04-01,110.6020
2021-05-01,109.3005
2021-06-01,109.4770
2021-07-01,111.5405
2021-08-01,109.3250
2021-09-01,110.0440
2021-10-01,111.0765
2021-11-01,114.0575
2021-12-01,112.7685
2022-01-01,115.1080
2022-02-01,114.6975
2022-03-01,114.9010
2022-04-01,122.5070
2022-05-01,130.1270
2022-06-01,130.1220
2022-07-01,135.2250
2022-08-01,131.5680
2022-09-01,140.1915
2022-10-01,144.7390
2022-11-01,148.1910
2022-12-01,135.3341
2023-01-01,130.7275
2023-02-01,128.9320
2023-03-01,136.1210
2023-04-01,132.7750
2023-05-01,137.4520
2023-06-01,138.7610
2023-07-01,144.3050
2023-08-01,142.9130
2023-09-01,146.2040
2023-10-01,149.8460
2023-11-01,150.6075
2023-12-01,146.8150
